bugType,sourceBeforeFix,sourceAfterFix,,
CHANGE_OPERATOR,"submittedNode.get(""values"") != null","submittedNode.get(""values"") == null",,
OVERLOAD_METHOD_MORE_ARGS,"Arrays.asList(""ls"",""pwd"")","Arrays.asList(""cmd"",""ls"",""pwd"")",,
OVERLOAD_METHOD_MORE_ARGS,"Arrays.asList(""ls"",""pwd"")","Arrays.asList(""cmd"",""ls"",""pwd"")",,
DIFFERENT_METHOD_SAME_ARGS,"taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroups(groups)","taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroupsIn(groups)",,
CHANGE_IDENTIFIER,"taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroups(groups)","taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroupsIn(groups)",,
CHANGE_NUMERAL,"waitForJobExecutorToProcessAllJobs(3000,500)","waitForJobExecutorToProcessAllJobs(5000,500)",,
CHANGE_NUMERAL,"waitForJobExecutorToProcessAllJobs(3000,500)","waitForJobExecutorToProcessAllJobs(5000,500)",,
OVERLOAD_METHOD_MORE_ARGS,"logger.error(""Error getting value for expression "" + expressionField.getExpression() + "" ""+ e.getMessage())","logger.error(""Error getting value for expression "" + expressionField.getExpression() + "" ""+ e.getMessage(),e)",,
CHANGE_IDENTIFIER,variables.putAll(variables),variables.putAll(transientVariabes),,
CHANGE_CALLER_IN_FUNCTION_CALL,DATABASE_TYPE_MYSQL.equals(databaseType),DATABASE_TYPE_MSSQL.equals(databaseType),,
CHANGE_IDENTIFIER,DATABASE_TYPE_MYSQL.equals(databaseType),DATABASE_TYPE_MSSQL.equals(databaseType),,
CHANGE_NUMERAL,new Long(3),new Long(4),,
DIFFERENT_METHOD_SAME_ARGS,"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)",,
CHANGE_IDENTIFIER,"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)",,
DIFFERENT_METHOD_SAME_ARGS,"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)",,
CHANGE_IDENTIFIER,"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)",,
DIFFERENT_METHOD_SAME_ARGS,"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)",,
CHANGE_IDENTIFIER,"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)",,
MORE_SPECIFIC_IF,getDatabaseSchema() != null,getDatabaseSchema() != null && getDatabaseSchema().length() > 0,,
MORE_SPECIFIC_IF,getDatabaseCatalog() != null,getDatabaseCatalog() != null && getDatabaseCatalog().length() > 0,,
DIFFERENT_METHOD_SAME_ARGS,"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)",,
